sentence,category
No that 's Eve 's book .,FRA
Yes that 's Racketyboom .,FRA
Mommy 's busy .,FRA
That 's not a cup .,FRA
That 's the top to a jar .,FRA
That radio .,FRA
Where is your hat ?,FRA
Oh that 's so pretty .,FRA
Is that Racketyboom .,FRA
Stool .,FRA
Man stool ?,FRA
Neil ?,FRA
Good girl .,FRA
Yes that was a good girl .,FRA
That 's a seat .,FRA
That 's Eve 's seat .,FRA
Eve seat .,FRA
Yes Eve 's seat .,FRA
Sambo .,FRA
Farmer and what else ?,FRA
Because I 'm busy .,FRA
That 's my paper .,FRA
Your paper 's on the table .,FRA
Eve writing .,FRA
That pencil .,FRA
The man 's writing .,FRA
Yes that 's soup .,FRA
That 's pudding .,FRA
That 's Eve 's pudding .,FRA
More pudding .,FRA
Piece of celery ?,FRA
Dolly celery .,FRA
The dolly .,FRA
Oh fish .,FRA
There dolly .,FRA
Dolly .,FRA
No more celery ?,FRA
Dolly what ?,FRA
Where 's the other shoe ?,FRA
Where 's dolly 's other .,FRA
Oh dolly 's other shoe is on her foot .,FRA
Dolly shoe .,FRA
Yes that 's dolly 's shoe .,FRA
You are good .,FRA
Spool .,FRA
Where 's the top ?,FRA
There is no top .,FRA
Spoon .,FRA
Not your spoon .,FRA
That 's the man 's spoon .,FRA
Man no spoon .,FRA
Oh thank .,FRA
Man no taste it ?,FRA
Yes mouth .,FRA
Man what ?,FRA
No I 'm not sure .,FRA
Man no sure .,FRA
A top .,FRA
A table .,FRA
That 's not the table that 's the fireplace .,FRA
That 's the fireplace .,FRA
Man fireplace .,FRA
Granma .,FRA
Are there any in the kitchen ?,FRA
Kitchen .,FRA
Are n't there any books out there ?,FRA
Oh but there are n't any there .,FRA
That 's Cromer .,FRA
A coffee .,FRA
Fraser coffee .,FRA
Becky .,FRA
It 's Becky .,FRA
Becky 's up there .,FRA
Arm .,FRA
Becky 's home yes .,FRA
Mommy letter pencil .,FRA
Would that be better ?,FRA
A cup .,FRA
Mommy juice .,FRA
A cough .,FRA
Mommy stair .,FRA
Yes it was a man .,FRA
Is that your banjo ?,FRA
What 's wrong with your finger ?,FRA
Mama 's busy .,FRA
Later maybe .,FRA
May maybe may .,FRA
The paper .,FRA
Where is Eve 's paper ?,FRA
Mommy pencil .,FRA
This is Mommy 's .,FRA
This is Eve 's right here .,FRA
No it 's not yours .,FRA
Mommy down ?,FRA
That 's sugar .,FRA
Good girl yes .,FRA
Becky 's at home .,FRA
Becky 's very busy .,FRA
Where Rangy ?,FRA
Rangy 's upstairs in bed .,FRA
No there she is .,FRA
Stair .,FRA
A Becky .,FRA
A Becky Mommy ?,FRA
Room .,FRA
Mommy letter a .,FRA
Mommy letter .,FRA
Kathy letter ?,FRA
A little pencil .,FRA
Oh you .,FRA
Yes coffee .,FRA
That 's the king .,FRA
This is the king .,FRA
The king .,FRA
No that 's the cat .,FRA
Oh a fox .,FRA
It 's not a fox .,FRA
That 's not a fox .,FRA
That 's a dog ?,FRA
That 's Humpty Dumpty .,FRA
Yes pretty good .,FRA
Pretty good .,FRA
That 's Jack .,FRA
That Jack .,FRA
Eve 's letter .,FRA
Eve 's mail .,FRA
Is there a lady on your letter ?,FRA
A letter .,FRA
That 's your letter .,FRA
No that 's Humpty Dumpty .,FRA
Dumpty .,FRA
A Dumpty .,FRA
That 's not the fox .,FRA
Dumpty Dumpty .,FRA
Yes the kitty .,FRA
That 's his dog .,FRA
That Dumpty .,FRA
More grape juice .,FRA
Eh ?,FRA
That 's the horsie 's eye .,FRA
Horsie eye .,FRA
Poor horsie 's head .,FRA
Arm a letter .,FRA
A horsie .,FRA
That 's Jill .,FRA
The stool 's right there .,FRA
No me .,FRA
That 's Mr Cromer 's briefcase .,FRA
Peter .,FRA
Cromer 's briefcase .,FRA
Cromer briefcase .,FRA
That 's Mr Fraser 's briefcase .,FRA
Where 's Papa 's banjo ?,FRA
No it 's not on the table .,FRA
Tapioca .,FRA
Who else ?,FRA
That 's much better .,FRA
Oh light .,FRA
Eve light .,FRA
Eve 's light ?,FRA
Rangy .,FRA
Well Rangy was here a minute .,FRA
There she is !,FRA
Step .,FRA
Mommy step .,FRA
A step .,FRA
Rangy step .,FRA
Oh is Rangy still on the step ?,FRA
Lynn letter .,FRA
That 's Eve 's letter .,FRA
Lynn .,FRA
Where is your horse ?,FRA
Eve horsie .,FRA
That 's baby .,FRA
That 's horsie .,FRA
That 's Eve 's horsie .,FRA
Your panties are on .,FRA
That 's Papa 's ashtray .,FRA
Where 's the rest of it ?,FRA
The one ?,FRA
Well not .,FRA
Where 's the rest ?,FRA
Where 's the other piece ?,FRA
Other piece .,FRA
That Kathy .,FRA
The table yes .,FRA
Yes that 's Kathy .,FRA
Because we 're busy now .,FRA
Yep sugar .,FRA
Yes the sugar .,FRA
Later outside .,FRA
Mommy coffee .,FRA
Mhm coffee for Fraser .,FRA
Mommy hot coffee one .,FRA
Mommy milk .,FRA
Kathy was unhappy .,FRA
Eve stool .,FRA
Because the heat and the whole thing is out in the room .,FRA
Heat right right fire .,FRA
Heat right in the fire .,FRA
A tapioca .,FRA
Bibbie .,FRA
A bibbie .,FRA
Mommy stool .,FRA
Cheese too .,FRA
Yeah a b a b c .,FRA
A that man .,FRA
String .,FRA
N .,FRA
O .,FRA
Eve letter .,FRA
It 's a stylus .,FRA
Not good .,FRA
That 's Papa 's tray .,FRA
He 's sick .,FRA
A b c there again .,FRA
Papa breakfast .,FRA
Papa 's breakfast yes .,FRA
Oh cookie .,FRA
No Fraser .,FRA
It 's a cracker .,FRA
Mommy cheese ?,FRA
Fraser no Fraser .,FRA
Mommy swing ?,FRA
Oh Old Macdonald .,FRA
Old Donald .,FRA
That 's your spoon .,FRA
What 's an Old Macdonald 's farm .,FRA
That 's soup .,FRA
Him writing .,FRA
Yeah another one .,FRA
It 's in the pan .,FRA
Baby Sarah .,FRA
Yes that 's baby Sarah .,FRA
A wiener Mommy .,FRA
A wiener !,FRA
She 's hungry .,FRA
Not now .,FRA
A piece ?,FRA
Yes we are .,FRA
Only paper .,FRA
Tapioca finger .,FRA
Fraser pencil .,FRA
That 's a skunk .,FRA
Skunk .,FRA
Is that a nice bed ?,FRA
Byebye Fraser .,FRA
Byebye Papa .,FRA
Byebye Eve .,FRA
Byebye Sarah baby a nice nap .,FRA
Night night later ?,FRA
A tiny one .,FRA
Papa ?,FRA
A penny .,FRA
Where 's your penny ?,FRA
Ah your penny 's not in the fire .,FRA
Your penny ?,FRA
Mama 's upstairs feeding baby Sarah .,FRA
Sarah .,FRA
Uhhuh she 'll be down in a minute .,FRA
He 's too near the fire .,FRA
Much too warm .,FRA
Eve lunch .,FRA
The turtle 's name is Froggy ?,FRA
Yeah lion turtle name Froggy turtle name Froggy .,FRA
Eve the other one is under the table .,FRA
Fraser no boot .,FRA
Boot hall .,FRA
Whose boots are in the hall ?,FRA
Mama there Mama where 's Mama boot ?,FRA
More sugar .,FRA
Dowf mouth ?,FRA
Dowf .,FRA
Mama 'll be down in just a minute .,FRA
You 're right .,FRA
Whee good jump .,FRA
Tapioca whole week .,FRA
Mommy that ?,FRA
In a whole week .,FRA
Where stool ?,FRA
Where is the stool ?,FRA
Cheese sandwich .,FRA
No Davy .,FRA
No what Davy ?,FRA
Davy .,FRA
Cheese sandwich whole week .,FRA
For a whole week .,FRA
Cmon .,FRA
A whole week .,FRA
That 's not the cheese sandwich .,FRA
That 's just the cheese .,FRA
Just the cheese .,FRA
But they 're dirty .,FRA
That 's my stool .,FRA
My stool .,FRA
Is it cold ?,FRA
I 'm sorry about that .,FRA
The sandwich cool look .,FRA
Piece of cheese .,FRA
Yes in just a minute .,FRA
A piece of celery .,FRA
A olive ?,FRA
Breakfast .,FRA
This is lunch now .,FRA
Yeah she 's awake now .,FRA
Baby tape .,FRA
Orange one ?,FRA
It is an orange one .,FRA
Another one orange one .,FRA
What one .,FRA
Another blue one .,FRA
Purple one .,FRA
It 's a string .,FRA
A string ?,FRA
Another string .,FRA
Gracious mercy .,FRA
Yeah where fire ?,FRA
The red one .,FRA
Maybe it was orange .,FRA
Those are Papa 's books .,FRA
Papa book .,FRA
Where Eve ?,FRA
Where is Eve ?,FRA
You 're under ?,FRA
Yes you 're under Papa 's desk .,FRA
Yeah where is Eve ?,FRA
But what 's the magic word ?,FRA
Here Eve .,FRA
Here 's a nice new page for you .,FRA
That a b c .,FRA
My turn now .,FRA
A butterfly .,FRA
That a b d e f .,FRA
What 's that one ?,FRA
B d e f .,FRA
That a b c d e f .,FRA
Eve g .,FRA
That better ?,FRA
B that b .,FRA
I two .,FRA
D e f .,FRA
G h .,FRA
A b c like that .,FRA
A b c that .,FRA
Over here o .,FRA
How many beads are there ?,FRA
Two bead .,FRA
Eve swimming .,FRA
Yes Eve swimming .,FRA
No not on that couch either .,FRA
Not on the stool .,FRA
Not on the door .,FRA
Not on the study .,FRA
Eve love crayon .,FRA
Where crayon ?,FRA
That 's a paper bag .,FRA
That 's ashes from the fireplace .,FRA
Bead .,FRA
Party yesterday now .,FRA
A party .,FRA
Baby sneeze .,FRA
Yes sneeze .,FRA
No Papa .,FRA
That 's a string from baby Sarah 's blanket .,FRA
Baby 's hair .,FRA
Fraser there .,FRA
No Eve .,FRA
Becky 's busy right now .,FRA
And Eve 's busy .,FRA
Fraser busy .,FRA
He 's busy .,FRA
Busy writing .,FRA
Yes he is .,FRA
Where Eve pencil ?,FRA
That fine .,FRA
It 's on the table by the red leaves .,FRA
That writing ?,FRA
No on the table .,FRA
Eve writing table .,FRA
That little one .,FRA
Where Sarah ?,FRA
Hi Fraser .,FRA
He 'll be right back .,FRA
Other finger .,FRA
That 's more fun .,FRA
After lunch .,FRA
Yeah Thursday .,FRA
On Thursday ?,FRA
Oh those are just things .,FRA
One dolly .,FRA
Here 's dolly 's shirt .,FRA
Dolly shirt .,FRA
You 're noisy .,FRA
Grape juice .,FRA
Yes grape juice .,FRA
Well just a moment .,FRA
Tower big tower .,FRA
Big tower .,FRA
Little tower ?,FRA
A reel .,FRA
Reel .,FRA
That my briefcase .,FRA
Nanny .,FRA
Your briefcase .,FRA
All ready .,FRA
My briefcase .,FRA
Your briefcase that ?,FRA
That Fraser hi Fraser .,FRA
That stool .,FRA
It a b c .,FRA
That my can .,FRA
Your can ?,FRA
Cathy crying .,FRA
That 's a girl .,FRA
Celery .,FRA
Just Eve .,FRA
Mammy .,FRA
Pencil under there .,FRA
That for me ?,FRA
That 's the broom .,FRA
The broom .,FRA
Coloring book .,FRA
Back now .,FRA
I 'll be right back Eve .,FRA
What 's that mess ?,FRA
That a green one .,FRA
Eve piece celery .,FRA
Is n't it good ?,FRA
Not on my nose .,FRA
On your stool ?,FRA
Where Cromer Fraser ?,FRA
You 're on my stool .,FRA
No he at Wednesday .,FRA
You on my stool .,FRA
He at school .,FRA
More that ?,FRA
It 's a pickle .,FRA
A pickle .,FRA
No more books Eve .,FRA
No books .,FRA
The other side 's clean .,FRA
Sure you can .,FRA
My name Poo Poo .,FRA
Oh your name 's not either Poo Poo .,FRA
What is that Eve ?,FRA
What is that Fraser ?,FRA
It 's c .,FRA
That c .,FRA
Spell cat .,FRA
That cat .,FRA
That 's not cat is it ?,FRA
What my need ?,FRA
A red c .,FRA
A green a .,FRA
That side .,FRA
Not that side .,FRA
That 's another word .,FRA
Lassie .,FRA
Coloring books .,FRA
D is in dog .,FRA
No d for dog .,FRA
And Fraser .,FRA
That 's a d .,FRA
What dear ?,FRA
Joanne .,FRA
Peter 's mommy .,FRA
Peter Mommy .,FRA
What 's the name of that soup ?,FRA
Cereal ?,FRA
That 's noodle soup .,FRA
Noodle soup ?,FRA
What is name ?,FRA
Two noodle soup ?,FRA
There are two different kinds of noodles in there yes .,FRA
Green bean .,FRA
Jelly beans .,FRA
That d e f .,FRA
Not green beans jelly beans .,FRA
Mom be right back .,FRA
My new coat .,FRA
Your new coat ?,FRA
Your new coat 's in the closet .,FRA
But that 's not Swiss cheese .,FRA
That 's not Swiss cheese .,FRA
That Swiss cheese .,FRA
Well it 's not Swiss cheese .,FRA
For me too .,FRA
No that 's for Papa .,FRA
This is for me .,FRA
It for me .,FRA
Hi Sarah .,FRA
That paper .,FRA
Hi baby .,FRA
For Pop .,FRA
For his lunch .,FRA
For he lunch .,FRA
A girl .,FRA
Vitamin time Eve .,FRA
Vitamin time .,FRA
Time girls .,FRA
Vitamin time girls .,FRA
Vitamin girls .,FRA
But Fraser .,FRA
Is n't that too bad .,FRA
Poor Fraser .,FRA
Mom what that ?,FRA
What 's that right there ?,FRA
Peas and sweet potatoes and dessert .,FRA
That carrot .,FRA
No that 's not carrots .,FRA
That 's sweet potatoes .,FRA
These are sweet potatoes .,FRA
And that green bean white .,FRA
That mine .,FRA
Page .,FRA
I sick .,FRA
Doll .,FRA
What 's wrong with you ?,FRA
He is .,FRA
Oh you 're getting tired Eve .,FRA
Not me .,FRA
Not Sarah .,FRA
Not Fraser either .,FRA
Nope just Eve .,FRA
That Mom .,FRA
No just your own self .,FRA
Not Fraser .,FRA
Not Papa .,FRA
Not Mom .,FRA
I full now .,FRA
Fraser too ?,FRA
This is my side .,FRA
Then it be full .,FRA
But not now .,FRA
Now it 's empty .,FRA
Yes you did indeed .,FRA
Many .,FRA
You be many .,FRA
I be many .,FRA
Hi Papa .,FRA
The crayons .,FRA
When my take a nap .,FRA
Fine then .,FRA
Three o'clock .,FRA
That new paper .,FRA
Where 's lady finger ?,FRA
Where man hand ?,FRA
Now Mom .,FRA
One two three two one two three two .,FRA
He a mustache .,FRA
One two three one two three one two three two .,FRA
Little man and the lady and the man .,FRA
It for Fraser .,FRA
One two three two ?,FRA
For he coffee .,FRA
That 's absolutely right .,FRA
What 's that Fraser ?,FRA
That 's my jacket .,FRA
Now Eve that 's Fraser 's .,FRA
Then some cream .,FRA
Eeofarm .,FRA
My abc .,FRA
And that Papa and that Mom .,FRA
Pudding ?,FRA
That part d f .,FRA
That 's f .,FRA
Cough .,FRA
Oh cracker .,FRA
A Papa .,FRA
Commydit quackquack chickchick commydit .,FRA
Commydit .,FRA
You 're being silly .,FRA
Fraser being silly .,FRA
You being silly .,FRA
Well hello Eve .,FRA
No read .,FRA
Can a .,FRA
Right down .,FRA
Girl on a swing .,FRA
The dog 's house ?,FRA
Me book .,FRA
No eye .,FRA
You color girl .,FRA
Garbage ?,FRA
Coffee grape juice .,FRA
Cup Racketyboom .,FRA
Grass .,FRA
It my grass there .,FRA
It red grass .,FRA
It green grass .,FRA
Empty garbage .,FRA
Gloria ?,FRA
Pottie .,FRA
A pillow .,FRA
Fire coffee .,FRA
Yep cracker .,FRA
Mommy cracker .,FRA
Cromer coffee .,FRA
Eve soup .,FRA
A Mommy soup .,FRA
A noodle .,FRA
Mom pumpkin .,FRA
Oh coffee .,FRA
Oh Fraser coffee .,FRA
From Granny .,FRA
From Nanny .,FRA
Is this mine ?,FRA
Oh grape juice .,FRA
Mommy tinker ?,FRA
Horsie gun .,FRA
Up hill .,FRA
Down hill more turn .,FRA
A nap .,FRA
Oh Fraser byebye .,FRA
There butterfly .,FRA
A cracker juice .,FRA
A taybit .,FRA
Eve dear .,FRA
A sugar .,FRA
More cracker .,FRA
Mommy celery ?,FRA
No celery .,FRA
On table .,FRA
Oh foot .,FRA
A lunch .,FRA
Mommy sandwich .,FRA
A milk .,FRA
That Mommy soup .,FRA
Mommy umbrella ?,FRA
Papa umbrella ?,FRA
Out the study .,FRA
Papa cracker .,FRA
Papa cookie happy .,FRA
Eve cracker .,FRA
Papa eggnog ?,FRA
New Brunswick .,FRA
She 's right here .,FRA
A finger .,FRA
I 'm right here .,FRA
This not better .,FRA
It not better .,FRA
It 's not better !,FRA
This one not better .,FRA
Where Becky ?,FRA
Where is Mama ?,FRA
Mama 's upstairs .,FRA
Where are you Sue ?,FRA
This not straight .,FRA
It 's not straight .,FRA
There some cream .,FRA
Yeah that 's very good .,FRA
This your pencil here .,FRA
Yes that one 's my one .,FRA
Are we .,FRA
Yep we are Fraser .,FRA
This other way .,FRA
But it 's not time for lunch yet .,FRA
Not now it 's not time .,FRA
Oh it would huh .,FRA
Chocolate would .,FRA
That some of Margaret Keller 's ?,FRA
No that 's not some of Margaret Keller 's .,FRA
That 's my kleenex .,FRA
Be quiet Becky .,FRA
Eve that 's enough .,FRA
All the live long day .,FRA
Someone 's in kitchen with Dinah .,FRA
Yes indeed I am .,FRA
All around the what ?,FRA
All around the block .,FRA
That 's a silly song .,FRA
Bick a bick back .,FRA
You 're a bickle bickle back .,FRA
There it is on the table by your glass .,FRA
Nope probably not .,FRA
That 's a good one lady .,FRA
Fraser big lady too .,FRA
Big lady ?,FRA
That be great .,FRA
I not how .,FRA
Not that end the other end .,FRA
That end ?,FRA
That 's more than one .,FRA
In just a little bit .,FRA
The next time it will be either Fraser or Gloria .,FRA
That 's right Gloria .,FRA
Instead of Fraser .,FRA
Well that 's either Gloria or the mover .,FRA
That 's a big lady .,FRA
That is a big lady .,FRA
Lady up here .,FRA
Up here on that page .,FRA
Guitar .,FRA
Papa guitar .,FRA
Is Sarah awake ?,FRA
Yes Sarah 's awake .,FRA
Where is our new house ?,FRA
New Brunswick is way up in Canada .,FRA
Not up in the air though .,FRA
On the ground .,FRA
The ground .,FRA
On the ground yeah .,FRA
Where is Canada ?,FRA
Canada .,FRA
Canada which inside New Brunswick .,FRA
New Brunswick 's inside of Canada .,FRA
No it 's not up in the air .,FRA
Yes that 's Grandpa and Granny .,FRA
Camp .,FRA
He 's camp .,FRA
Alright darling .,FRA
Egg in my pitcher .,FRA
The little one .,FRA
Milk egg salt .,FRA
Where New Brunswick ?,FRA
Croder is a boy .,FRA
Cooder .,FRA
Schroeder .,FRA
Are you boy ?,FRA
Are you a man ?,FRA
Was you man you boy .,FRA
Papa 's a boy .,FRA
He not a man .,FRA
He funny like a man .,FRA
He a boy .,FRA
Man he 's a boy .,FRA
My Daddy not a man .,FRA
You man .,FRA
Daddy boy .,FRA
You not a man .,FRA
No boy .,FRA
My Papa is .,FRA
Mama is n't boy he a girl .,FRA
I not boy .,FRA
You not boy .,FRA
You not a boy .,FRA
You boy .,FRA
You not a girl .,FRA
When you little you was a girl .,FRA
Yes you was too .,FRA
Yes you was .,FRA
I a boy but I not a girl .,FRA
That a new song .,FRA
Well it 's not hot now .,FRA
What 're you ?,FRA
Sure you are .,FRA
I was a boy .,FRA
Why Fraser 's silly is n't he ?,FRA
Who 's a boy ?,FRA
And what 's Sarah ?,FRA
He 's a girl .,FRA
Sarah 's a girl .,FRA
And what am I ?,FRA
And what 's Becky ?,FRA
Fraser you funny .,FRA
Tattah .,FRA
What kind of monkey was that ?,FRA
It was black one .,FRA
Black one .,FRA
That Daddy .,FRA
That yours in the table .,FRA
Here David .,FRA
That 's your mug .,FRA
When I big I a man .,FRA
No when you 're big you 're a lady .,FRA
When I big I am man !,FRA
No you 'll never be a man .,FRA
Yes I will be a man .,FRA
She is hungry .,FRA
Oh this is outside .,FRA
In the basement Sue .,FRA
Sandy .,FRA
At .,FRA
Ca n't you ?,FRA
What 's this ?,FRA
This is .,FRA
What is that ?,FRA
Down there .,FRA
Where is it ?,FRA
Oh my gosh .,FRA
Oh yeah .,FRA
All right .,FRA
Mm hm .,FRA
It 's not .,FRA
What is it ?,FRA
Oh okay .,FRA
She ca n't .,FRA
Oh no !,FRA
You 're right .,FRA
Oh cool .,FRA
In there .,FRA
A tractor .,FRA
Right here .,FRA
What 's in there ?,FRA
Hey Mom .,FRA
Under here .,FRA
Uh huh .,FRA
At the store .,FRA
You can .,FRA
A what ?,FRA
You 're welcome .,FRA
Where is he ?,FRA
What is this ?,FRA
This house ?,FRA
Right up here !,FRA
What else ?,FRA
Yeah yeah !,FRA
Is it alive ?,FRA
Right in there .,FRA
All right all right .,FRA
It is ?,FRA
What door ?,FRA
Right there ?,FRA
On there .,FRA
He is ?,FRA
He does n't ?,FRA
Who 's that ?,FRA
Oh great .,FRA
Oh good .,FRA
How about .,FRA
That 's it ?,FRA
Those are .,FRA
Oh that 's cool .,FRA
In here .,FRA
Who is that ?,FRA
You are ?,FRA
Oh I 'm sorry .,FRA
It was .,FRA
Where are you ?,FRA
That 's right .,FRA
That 's not good .,FRA
I will .,FRA
Who is this ?,FRA
Are you sure ?,FRA
What 's .,FRA
Is it ?,FRA
Here it is .,FRA
Oh you are .,FRA
I 'm .,FRA
No no .,FRA
You do n't ?,FRA
Where am I ?,FRA
That 's a little microphone .,FRA
Yes that 's what I was afraid of .,FRA
What part ?,FRA
Well the battery 's in there .,FRA
Was mommy uh fishing ?,FRA
No no no .,FRA
A dog .,FRA
What is this for ?,FRA
Is mommy .,FRA
Is mommy cooking ?,FRA
Yes you can .,FRA
Was is this morning ?,FRA
Was it yesterday ?,FRA
When was it ?,FRA
You 're a goofy .,FRA
A sticker .,FRA
On here .,FRA
Uh where 's the eyes ?,FRA
Where 's the eyes ?,FRA
Oh yeah they 're down there somewhere .,FRA
This Tingelleo .,FRA
Oh is this Tingelleo ?,FRA
No the bunny .,FRA
Yes I was .,FRA
Yes you were ?,FRA
Heidi 's .,FRA
That 's like a turtle sandbox is n't it ?,FRA
That 's a dog .,FRA
Does n't .,FRA
Somebody 's ?,FRA
It 's a cooking pot .,FRA
What 's my name ?,FRA
Arf arf .,FRA
Hm that 's a pretty short slide .,FRA
A island .,FRA
Dog bones ?,FRA
It 's an island really ?,FRA
Oh that is yummy pizza .,FRA
Oh what is this in there ?,FRA
Where 's doggie puppet ?,FRA
Where is doggie puppet ?,FRA
Are you ready ?,FRA
To the mud ?,FRA
The marble is .,FRA
Chicken nuggets .,FRA
We we .,FRA
The paintbrush ?,FRA
It 's it 's the .,FRA
The turtle ?,FRA
And these are the and .,FRA
To house .,FRA
Those the and those are the paints right there .,FRA
So where 's the restaurant honey ?,FRA
Where 's the restaurant sweet pea ?,FRA
We are ?,FRA
Yes that 's a very important monkey .,FRA
What about the monkey ?,FRA
Present from my mom ?,FRA
How about some beans ?,FRA
To his house .,FRA
Some pizza .,FRA
That was a splash is n't it ?,FRA
Alright is that the oven ?,FRA
That 's a spider there .,FRA
Well those is that one of the eyes right there ?,FRA
Yeah mm hm yep .,FRA
Chipper chopper .,FRA
Where 's the spider now ?,FRA
Chipper chopper chipper chopper .,FRA
Those the big eyes right ?,FRA
What is in that bag ?,FRA
Alright one for you and one for you over here .,FRA
Under there ?,FRA
What 's in that .,FRA
Is that the red one ?,FRA
And for me too .,FRA
This is that on ?,FRA
Yeah for me .,FRA
Yeah that 's on .,FRA
Are you hungry ?,FRA
No I 'm not hungry actually .,FRA
I 'm too full .,FRA
I 'm hungry .,FRA
If it if it 's kinda this rectangle like this is n't it ?,FRA
You are always hungry .,FRA
More pizza for me .,FRA
More pizza ?,FRA
But there 's more in there .,FRA
It 's on right ?,FRA
And a red one .,FRA
And then a red one ?,FRA
That 's my brush .,FRA
What is this too ?,FRA
Up onto my sweater .,FRA
It 's black .,FRA
Is there anything else in there ?,FRA
One more thing .,FRA
That 's not the black brush brush .,FRA
Um she 's backwards !,FRA
What is that sound ?,FRA
Yeah that 's nice .,FRA
This car is is funny !,FRA
And for the other two can be .,FRA
A microphone for you ?,FRA
And you .,FRA
How about apples with yogurt for dessert ?,FRA
With some really sharp teeth .,FRA
Oh yeah sharp teeth okay .,FRA
Another sharp tooth .,FRA
They are in the car .,FRA
You what sweet pea ?,FRA
Or is that just the top teeth and the bottom teeth there ?,FRA
Top teeth .,FRA
Alright just the whole apple okay .,FRA
Is it good ?,FRA
And here 's Franklin !,FRA
What is in there ?,FRA
Is that a slide ?,FRA
Orange how about an orange Emma ?,FRA
An Emma ?,FRA
And this the sand ?,FRA
Is that the turtle purtle purtle tur turtle ?,FRA
This is from Heidi .,FRA
That 's a turtle .,FRA
Are you orange ?,FRA
You 're kind of orange are n't you ?,FRA
You too ?,FRA
I 'm big than him .,FRA
Alright that 's the last of the ginger .,FRA
He 's inside the belly .,FRA
I 'm not little .,FRA
We 're all out of ginger .,FRA
How big ?,FRA
I 'm big .,FRA
How big are you ?,FRA
I 'm pretty big .,FRA
You 're pretty big ?,FRA
Are you as big as a car ?,FRA
This is a card .,FRA
A baby on his lap .,FRA
Where 's the spider ?,FRA
Oh this is a card ?,FRA
Are you there already ?,FRA
Now I am .,FRA
That was quick .,FRA
Heidi 's your friend huh ?,FRA
Green and red .,FRA
You are a pizza monger .,FRA
What is in the the turtle ?,FRA
Well it is kind of a rectangle is n't it ?,FRA
All right here 's Emma 's microphone over here .,FRA
A teddy .,FRA
Is he squishy ?,FRA
A rectangle .,FRA
A rectangle with a red light .,FRA
Not with the turtle .,FRA
Sea salt ?,FRA
That 's a ladybug bracelet .,FRA
Tee taa ?,FRA
Now red light be next .,FRA
Yes and they are on my bracelet now .,FRA
From our house .,FRA
A black cord .,FRA
It dark !,FRA
Ribbit ribbit .,FRA
That and the plane .,FRA
A tower .,FRA
A thing ?,FRA
Except except this guy .,FRA
Now I 'm at the library !,FRA
Hee hee .,FRA
A bicycle .,FRA
How is there two two ones ?,FRA
And there two ?,FRA
And this is .,FRA
Is there a one for I ?,FRA
A bus .,FRA
Is that the old one ?,FRA
What is inside that turtle ?,FRA
Is that a turtle sandbox ?,FRA
You 're too big .,FRA
Where 's my toast ?,FRA
A Barney video for me .,FRA
I can .,FRA
This would .,FRA
It 's right behind the the Blue 's Clues one .,FRA
A big rhinotta rhinoceros !,FRA
Nine little ladybugs .,FRA
The two on the .,FRA
Is that a xylophone ?,FRA
Right next to a the skateboard .,FRA
That purple blue green .,FRA
A bird .,FRA
Is that green ?,FRA
Maybe they 're not they 're not in that one .,FRA
Is that yellow ?,FRA
From all that pizza .,FRA
Is that orange ?,FRA
Is that red ?,FRA
Six little ladybugs .,FRA
What is this number ?,FRA
I 'm not tired .,FRA
Is that a blue thing ?,FRA
Where where are you ?,FRA
A grass .,FRA
A dew .,FRA
Is that the ketchup ?,FRA
It is the ketchup ?,FRA
In the oven .,FRA
The oven .,FRA
Down here what is in that oven ?,FRA
Car soup !,FRA
Maybe a fox .,FRA
It 's very hot ?,FRA
Are you .,FRA
Mm hm okay .,FRA
And what ?,FRA
Stickers all over the rug .,FRA
What 's this for ?,FRA
What is that for .,FRA
A bed ?,FRA
Here sheep .,FRA
Are there sheep in here ?,FRA
No this is a big one .,FRA
Yeah and this is the daddy .,FRA
I 'm I 'm a yoga pose horse .,FRA
You 're a yoga pose horse ?,FRA
What kind what kind of yoga pose is that ?,FRA
Oh that 's better .,FRA
The horsie was scared because it .,FRA
Why was he scared ?,FRA
Is it a noisy tractor ?,FRA
What baby ?,FRA
It 's not loud it 's soft .,FRA
It 's okay little horsie .,FRA
That is a nice lobster .,FRA
Anybody else ?,FRA
Hey cow .,FRA
Good morning Emma .,FRA
Good morning little horsie .,FRA
Oh no I 'm scared of that tractor !,FRA
That one is is not scary .,FRA
It 's not that loud .,FRA
It 's not only loud but it 's bright orange and yellow .,FRA
It 's away away .,FRA
Wow that 's a lot of tractors .,FRA
To whose house ?,FRA
The horsie 's house .,FRA
And which store would that be ?,FRA
The grocery store ?,FRA
Um some horsie food some cat food .,FRA
Some horsie food and cat food ?,FRA
Oh yeah what about this little girl here ?,FRA
Right right with the dog and the sheep and the chicken no the rooster 's in there .,FRA
Here 's a brush .,FRA
All right there .,FRA
That 's enough .,FRA
Okay that 's perfect .,FRA
A blanket .,FRA
A blanket that 's a good idea !,FRA
A blanket for the new baby ?,FRA
No for the cow .,FRA
Oh wonderful .,FRA
And then .,FRA
Here 's my spinning wheel .,FRA
That 's not my wool blanket .,FRA
This is spos ta be for the cow .,FRA
What chicken ?,FRA
The rooster 's the boy chicken .,FRA
That is enough .,FRA
That 's ple that 's plenty for a chicken blanket .,FRA
Okay uh a Barney blanket .,FRA
